iter	Passed	Remaining
556	2316	1842
557	2316	1835
558	2317	1828
559	2318	1821
560	2319	1814
561	2320	1808
562	2321	1801
563	2322	1795
564	2323	1788
565	2323	1781
566	2324	1775
567	2325	1768
568	2330	1765
569	2331	1758
570	2332	1752
571	2333	1745
572	2334	1739
573	2335	1733
574	2335	1726
575	2337	1720
576	2343	1717
577	2345	1712
578	2346	1706
579	2350	1701
580	2351	1695
581	2351	1689
582	2352	1682
583	2353	1676
584	2353	1669
585	2354	1663
586	2355	1657
587	2356	1651
588	2357	1645
589	2358	1638
590	2360	1633
591	2361	1627
592	2362	1621
593	2363	1615
594	2363	1609
595	2364	1602
596	2365	1596
597	2366	1590
598	2366	1584
599	2367	1578
600	2368	1572
601	2369	1566
602	2370	1560
603	2371	1554
604	2371	1548
605	2372	1542
606	2373	1536
607	2374	1530
608	2374	1524
609	2375	1518
610	2376	1512
611	2377	1507
612	2379	1502
613	2381	1497
614	2382	1491
615	2383	1485
616	2384	1479
617	2384	1474
618	2385	1468
619	2386	1462
620	2388	1457
621	2389	1451
622	2389	1446
623	2391	1440
624	2394	1436
625	2395	1431
626	2396	1425
627	2397	1420
628	2398	1414
629	2399	1409
630	2399	1403
631	2402	1398
632	2403	1393
633	2405	1388
634	2407	1383
635	2408	1378
636	2410	1373
637	2412	1368
638	2412	1363
639	2413	1357
640	2414	1352
641	2414	1346
642	2417	1342
643	2419	1337
644	2420	1332
645	2421	1326
646	2422	1321
647	2423	1316
648	2424	1311
649	2424	1305
650	2425	1300
651	2426	1295
652	2427	1289
653	2427	1284
654	2428	1279
655	2428	1273
656	2429	1268
657	2429	1263
658	2430	1257
659	2431	1252
660	2431	1247
661	2432	1241
662	2433	1236
663	2434	1231
664	2435	1226
665	2436	1222
666	2437	1216
667	2438	1211
668	2439	1206
669	2439	1201
670	2440	1196
671	2440	1191
672	2441	1186
673	2442	1181
674	2443	1176
675	2444	1171
676	2444	1166
677	2445	1161
678	2447	1157
679	2452	1154
680	2453	1149
681	2453	1144
682	2454	1139
683	2512	1160
684	2512	1155
685	2514	1150
686	2514	1145
687	2515	1140
688	2516	1136
689	2517	1131
690	2518	1126
691	2519	1121
692	2520	1116
693	2521	1111
694	2522	1106
695	2523	1102
696	2523	1097
697	2524	1092
698	2525	1087
699	2525	1082
700	2526	1077
701	2527	1072
702	2527	1067
703	2528	1063
704	2529	1058
705	2530	1053
706	2531	1049
707	2532	1044
708	2533	1039
709	2533	1034
710	2534	1030
711	2535	1025
712	2535	1020
713	2535	1015
714	2536	1011
715	2536	1006
716	2537	1001
717	2538	997
718	2539	992
719	2540	987
720	2540	983
721	2541	978
722	2542	974
723	2543	969
724	2544	965
725	2547	961
726	2548	956
727	2549	952
728	2550	948
729	2551	943
730	2551	939
731	2552	934
732	2553	930
733	2564	929
734	2565	925
735	2566	920
736	2567	916
737	2567	911
738	2568	907
739	2569	902
740	2570	898
741	2572	894
742	2573	890
743	2573	885
744	2574	881
745	2576	877
746	2578	873
747	2578	868
748	2579	864
749	2580	860
750	2580	855
751	2581	851
752	2582	846
753	2582	842
754	2583	838
755	2584	834
756	2585	829
757	2585	825
758	2586	821
759	2587	817
760	2588	812
761	2590	809
762	2591	805
763	2592	800
764	2593	796
765	2594	792
766	2594	788
767	2595	784
768	2596	779
769	2596	775
770	2597	771
771	2597	767
772	2598	763
773	2598	758
774	2599	754
775	2600	750
776	2601	746
777	2601	742
778	2602	738
779	2603	734
780	2603	730
781	2604	726
782	2605	722
783	2605	717
784	2611	715
785	2612	711
786	2613	707
787	2614	703
788	2614	699
789	2616	695
790	2617	691
791	2618	687
792	2619	683
793	2620	679
794	2621	676
795	2622	672
796	2623	668
797	2623	664
